run_id,status,patients_per_scenario,horizon_s,preset,noise_profile_count,fallback_config_count,paper_dir
codex_auto_mut_0015,completed,1,5.0,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0015\paper_artifacts
codex_auto_mut_0014,completed,1,4.5,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0014\paper_artifacts
codex_auto_mut_0013,completed,1,4.0,codex_auto_mutation,2,2,outputs\runs\codex_auto_mut_0013\paper_artifacts
codex_auto_mut_0012,completed,2,3.5,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0012\paper_artifacts
codex_auto_mut_0011,completed,1,3.0,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0011\paper_artifacts
codex_auto_mut_0010,completed,1,5.0,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0010\paper_artifacts
codex_auto_mut_0009,completed,1,4.5,codex_auto_mutation,2,2,outputs\runs\codex_auto_mut_0009\paper_artifacts
codex_auto_mut_0008,completed,2,4.0,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0008\paper_artifacts
codex_auto_mut_0007,completed,1,3.5,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0007\paper_artifacts
codex_auto_mut_0006,completed,1,3.0,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0006\paper_artifacts
codex_auto_mut_0005,completed,1,5.0,codex_auto_mutation,2,2,outputs\runs\codex_auto_mut_0005\paper_artifacts
codex_auto_mut_0004,completed,2,4.5,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0004\paper_artifacts
codex_auto_mut_0003,completed,1,4.0,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0003\paper_artifacts
codex_auto_mut_0002,completed,1,3.5,codex_auto_mutation,3,2,outputs\runs\codex_auto_mut_0002\paper_artifacts
codex_auto_mut_0001,completed,1,3.0,codex_auto_mutation,2,2,outputs\runs\codex_auto_mut_0001\paper_artifacts
codex_auto_test_0001,completed,1,3.0,codex_auto_mutation,2,2,outputs\runs\codex_auto_test_0001\paper_artifacts
codex_probe_smoke,completed,1,3.0,smoke,2,2,outputs\runs\codex_probe_smoke\paper_artifacts
stage9_n100_time2,completed,100,30.0,n100_time2,4,12,outputs\runs\stage9_n100_time2\paper_artifacts
stage9_n20_reward_vfpoly_lowenergy_20260520_143550,completed,20,30.0,n20,4,12,outputs\runs\stage9_n20_reward_vfpoly_lowenergy_20260520_143550\paper_artifacts
stage9_n20,completed,20,30.0,n20,4,12,outputs\runs\stage9_n20\paper_artifacts
stage8_smoke,unknown,1,3.0,smoke,2,2,outputs\runs\stage8_smoke\paper_artifacts
